name,slug,topic_type,aliases,parent_slugs,extensions,rss_feed_url,rss_feed_title,notes
Cars,cars,topic,Automobiles|Automotive,,,,,Top-level vertical
Electric Vehicles,electric-vehicles,topic,EVs|EV,cars,,,,
Hybrid Vehicles,hybrid-vehicles,topic,Hybrids|PHEVs,cars,,,,
SUVs,suvs,topic,Sport Utility Vehicles,cars,,,,
Trucks,trucks,topic,Pickup Trucks,cars,,,,
Sedans,sedans,topic,,cars,,,,
Car Reviews,car-reviews,topic,Auto Reviews,cars,,,,
Car Deals,car-deals,topic,Auto Deals,cars,,,,
Self-Driving Cars,self-driving-cars,topic,,cars|autonomous-driving,,,,Cross-ref: AI vertical
Car Safety,car-safety,topic,NHTSA|IIHS,cars,,,,
Car Technology,car-technology,topic,CarPlay|Android Auto|Infotainment,cars,,,,
Toyota Newsroom,toyota-newsroom-pressroom-toyota-com-feed,rss_feed,,cars,,https://pressroom.toyota.com/feed/,Toyota Newsroom,
Tesla,tesla,topic,Tesla Motors|Tesla Blog,cars|electric-vehicles,,,,Cross-ref: AI (autonomous driving)
Ford,ford,topic,Ford Motor Company,cars,,,,
General Motors,general-motors,topic,GM,cars,,,,
Honda,honda,topic,Honda Motor,cars,,,,
BMW,bmw,topic,Bayerische Motoren Werke,cars,,,,
Mercedes-Benz,mercedes-benz,topic,Mercedes|Daimler,cars,,,,
Volkswagen,volkswagen,topic,VW,cars,,,,
Hyundai,hyundai,topic,Hyundai Motor,cars,,,,
Kia,kia,topic,Kia Motors,cars,,,,
Nissan,nissan,topic,Nissan Motor,cars,,,,
Subaru,subaru,topic,,cars,,,,
Mazda,mazda,topic,,cars,,,,
Volvo,volvo,topic,Volvo Cars,cars,,,,
Audi,audi,topic,,volkswagen,,,,
Porsche,porsche,topic,,volkswagen,,,,
Rivian,rivian,topic,,electric-vehicles,,,,
Lucid,lucid,topic,Lucid Motors,electric-vehicles,,,,
Polestar,polestar,topic,,volvo|electric-vehicles,,,,
BYD,byd,topic,Build Your Dreams,electric-vehicles,,,,
NIO,nio,topic,,electric-vehicles,,,,
XPeng,xpeng,topic,XPEV,electric-vehicles,,,,
VinFast,vinfast,topic,,electric-vehicles,,,,
Stellantis,stellantis,topic,,cars,,,,
Jeep,jeep,topic,,stellantis|suvs,,,,
Ram Trucks,ram-trucks,topic,,stellantis|trucks,,,,
Dodge,dodge,topic,,stellantis,,,,
Jaguar Land Rover,jaguar-land-rover,topic,JLR,cars,,,,
Land Rover,land-rover,topic,Range Rover,jaguar-land-rover|suvs,,,,
Jaguar,jaguar,topic,,jaguar-land-rover,,,,
Ferrari,ferrari,topic,,cars,,,,
Lexus,lexus,topic,,toyota-newsroom-pressroom-toyota-com-feed,,,,
Acura,acura,topic,,honda,,,,
Lincoln,lincoln,topic,Lincoln Motor,ford,,,,
Cadillac,cadillac,topic,,general-motors,,,,
Chevrolet,chevrolet,topic,Chevy,general-motors,,,,
Buick,buick,topic,,general-motors,,,,
GMC,gmc,topic,,general-motors,,,,
Genesis,genesis,topic,Genesis Motors,hyundai,,,,
Infiniti,infiniti,topic,,nissan,,,,
Mini,mini,topic,MINI Cooper,bmw,,,,
Car and Driver,car-and-driver-caranddriver-com-rss-all-xml,rss_feed,C&D|CaD,cars,,https://www.caranddriver.com/rss/all.xml/,Car and Driver,
Edmunds,edmunds-edmunds-com-feeds-rss-articles-xml,rss_feed,,cars,,https://www.edmunds.com/feeds/rss/articles.xml,Edmunds,
Jalopnik,jalopnik-jalopnik-com-feed,rss_feed,,cars,,https://www.jalopnik.com/feed/,Jalopnik,
Electrek,electrek-electrek-co-feed,rss_feed,,electric-vehicles,,https://electrek.co/feed/,Electrek,
InsideEVs,insideevs-insideevs-com-rss-news-all,rss_feed,Inside EVs,electric-vehicles,,https://insideevs.com/rss/news/all/,InsideEVs News,
Kelley Blue Book,kelley-blue-book-mediaroom-kbb-com-press-releases-pagetemplate-rss,rss_feed,Kelley Blue Book,cars,,https://mediaroom.kbb.com/press-releases?pagetemplate=rss,Kelley Blue Book Press Releases,
The Drive,the-drive-thedrive-com-feed,rss_feed,,cars,,https://www.thedrive.com/feed,The Drive,
The Verge Cars,the-verge-cars,topic,,the-verge-theverge-com-rss-index-xml|cars,,,,
Ars Technica Cars,ars-technica-cars,topic,,ars-technica-feeds-arstechnica-com-arstechnica-index|cars,,,,
