name,slug,topic_type,aliases,parent_slugs,extensions,rss_feed_url,rss_feed_title,notes
Credit Card Rewards,credit-card-rewards,topic,Credit Cards|Points and Miles,,,,,Top-level vertical
Sign-Up Bonuses,sign-up-bonuses,topic,Welcome Offers|SUB,credit-card-rewards,,,,
Annual Fees,annual-fees,topic,,credit-card-rewards,,,,
Balance Transfers,balance-transfers,topic,,credit-card-rewards,,,,
Cash Back,cash-back,topic,Cashback,credit-card-rewards,,,,
Travel Rewards,travel-rewards,topic,,credit-card-rewards,,,,Cross-ref: travel vertical
Business Credit Cards,business-credit-cards,topic,Business Cards,credit-card-rewards,,,,
Credit Score,credit-score,topic,Credit Scores|FICO,credit-card-rewards,,,,
Banking,banking,topic,Bank Rewards|Personal Finance,credit-card-rewards,,,,
High-Yield Savings,high-yield-savings,topic,HYSA|High Yield Savings Accounts,banking,,,,
Checking Accounts,checking-accounts,topic,,banking,,,,
Bank Bonuses,bank-bonuses,topic,Bank Account Bonuses,banking,,,,
Chase,chase,topic,JPMorgan Chase|JP Morgan Chase|Chase News,credit-card-rewards,,,,
American Express,american-express,topic,Amex|AMEX|American Express Newsroom,credit-card-rewards,,,,
Citi,citi,topic,Citibank|Citigroup,credit-card-rewards,,,,
Capital One,capital-one,topic,Capital One Newsroom,credit-card-rewards,,,,
Bank of America,bank-of-america,topic,BofA|BoA,credit-card-rewards,,,,
Wells Fargo,wells-fargo,topic,,credit-card-rewards,,,,
US Bank,us-bank,topic,U.S. Bank,credit-card-rewards,,,,
Barclays,barclays,topic,,credit-card-rewards,,,,
Discover,discover,topic,Discover Financial,credit-card-rewards,,,,
Goldman Sachs,goldman-sachs,topic,,banking,,,,
Ally,ally,topic,Ally Financial|Ally Bank,banking,,,,
Marcus,marcus,topic,Marcus by Goldman Sachs,goldman-sachs|banking,,,,
Synchrony,synchrony,topic,Synchrony Financial,credit-card-rewards,,,,
Bread Financial,bread-financial,topic,,credit-card-rewards,,,,
Chase Ultimate Rewards,chase-ultimate-rewards,rewards_program,Ultimate Rewards|UR,chase,,,,
Amex Membership Rewards,amex-membership-rewards,rewards_program,Membership Rewards|MR,american-express,,,,
Citi ThankYou,citi-thankyou,rewards_program,ThankYou Points|TYP,citi,,,,
Capital One Miles,capital-one-miles,rewards_program,,capital-one,,,,
Bank of America Preferred Rewards,bofa-preferred-rewards,rewards_program,Preferred Rewards,bank-of-america,,,,
Discover Cashback,discover-cashback,rewards_program,,discover,,,,
Wells Fargo Rewards,wells-fargo-rewards,rewards_program,,wells-fargo,,,,
Chase Sapphire Preferred,chase-sapphire-preferred,card,CSP,chase,,,,
Chase Sapphire Reserve,chase-sapphire-reserve,card,CSR,chase,,,,Cross-ref: travel vertical
Chase Freedom Unlimited,chase-freedom-unlimited,card,CFU,chase,,,,
Chase Freedom Flex,chase-freedom-flex,card,CFF,chase,,,,
Chase Ink Business Preferred,chase-ink-business-preferred,card,CIP|Ink Preferred,chase|business-credit-cards,,,,
Chase Ink Business Cash,chase-ink-business-cash,card,CIC|Ink Cash,chase|business-credit-cards,,,,
Chase Ink Business Unlimited,chase-ink-business-unlimited,card,CIU|Ink Unlimited,chase|business-credit-cards,,,,
Amex Platinum,amex-platinum,card,Platinum Card|The Platinum Card,american-express,,,,Cross-ref: travel vertical
Amex Gold,amex-gold,card,Gold Card|The Gold Card,american-express,,,,
Amex Blue Cash Preferred,amex-blue-cash-preferred,card,BCP,american-express,,,,
Amex Blue Cash Everyday,amex-blue-cash-everyday,card,BCE,american-express,,,,
Amex Green,amex-green,card,Green Card,american-express,,,,
Amex Business Platinum,amex-business-platinum,card,Biz Plat,american-express|business-credit-cards,,,,
Amex Business Gold,amex-business-gold,card,Biz Gold,american-express|business-credit-cards,,,,
Amex Delta SkyMiles Gold,amex-delta-skymiles-gold,card,,american-express,,,,Cross-ref: travel vertical
Amex Delta SkyMiles Platinum,amex-delta-skymiles-platinum,card,,american-express,,,,
Amex Delta SkyMiles Reserve,amex-delta-skymiles-reserve,card,,american-express,,,,
Amex Hilton Honors,amex-hilton-honors,card,,american-express,,,,
Amex Hilton Honors Surpass,amex-hilton-honors-surpass,card,Hilton Surpass,american-express,,,,
Amex Hilton Honors Aspire,amex-hilton-honors-aspire,card,Hilton Aspire,american-express,,,,
Amex Marriott Bonvoy Brilliant,amex-marriott-bonvoy-brilliant,card,Bonvoy Brilliant,american-express,,,,
Citi Double Cash,citi-double-cash,card,,citi,,,,
Citi Custom Cash,citi-custom-cash,card,,citi,,,,
Citi Strata Premier,citi-strata-premier,card,Strata Premier,citi,,,,
Capital One Venture X,capital-one-venture-x,card,Venture X,capital-one,,,,
Capital One Venture,capital-one-venture,card,Venture Card,capital-one,,,,
Capital One SavorOne,capital-one-savorone,card,SavorOne,capital-one,,,,
Capital One Quicksilver,capital-one-quicksilver,card,Quicksilver,capital-one,,,,
Discover it Cash Back,discover-it-cash-back,card,Discover it,discover,,,,
US Bank Altitude Reserve,us-bank-altitude-reserve,card,Altitude Reserve,us-bank,,,,
Wells Fargo Autograph Journey,wells-fargo-autograph-journey,card,Autograph Journey,wells-fargo,,,,
Wells Fargo Autograph,wells-fargo-autograph,card,Autograph,wells-fargo,,,,
Bilt Mastercard,bilt-mastercard,card,Bilt Card|Bilt Rewards Card,credit-card-rewards,,,,
Bilt Rewards,bilt-rewards,rewards_program,Bilt,credit-card-rewards,,,,
Robinhood Gold Card,robinhood-gold-card,card,,credit-card-rewards,,,,
Apple Card,apple-card,card,,apple-newsroom-apple-com-newsroom-rss-feed-rss|credit-card-rewards,,,,
Marcus Savings,marcus-savings,bank_account,Marcus High-Yield Savings,marcus,,,,
Ally Savings,ally-savings,bank_account,Ally High-Yield Savings,ally|high-yield-savings,,,,
Wealthfront Cash Account,wealthfront-cash,bank_account,,high-yield-savings,,,,
SoFi Savings,sofi-savings,bank_account,SoFi Checking and Savings,high-yield-savings,,,,
Capital One 360 Savings,capital-one-360-savings,bank_account,,capital-one|high-yield-savings,,,,
Dining,dining,topic,Restaurants,credit-card-rewards,spending_category,,,
Groceries,groceries,topic,Supermarkets|Grocery Stores,credit-card-rewards,spending_category,,,
Gas,gas,topic,Gas Stations|Fuel,credit-card-rewards,spending_category,,,
Travel Purchases,travel-purchases,topic,,credit-card-rewards,spending_category,,,Spending category for travel
Streaming,streaming,topic,Streaming Services,credit-card-rewards,spending_category,,,
Online Shopping,online-shopping,topic,Online Purchases,credit-card-rewards,spending_category,,,
Transit,transit,topic,Public Transit|Rideshare,credit-card-rewards,spending_category,,,
Drugstores,drugstores,topic,Pharmacies,credit-card-rewards,spending_category,,,
Home Improvement,home-improvement,topic,Home Improvement Stores,credit-card-rewards,spending_category,,,
Wholesale Clubs,wholesale-clubs,topic,Warehouse Clubs,credit-card-rewards,spending_category,,,
Rent,rent,topic,Rent Payments,credit-card-rewards,spending_category,,,
The Points Guy,the-points-guy-thepointsguy-com-feed,rss_feed,TPG,credit-card-rewards,,https://thepointsguy.com/feed/,The Points Guy,
Doctor of Credit,doctor-of-credit-doctorofcredit-com-feed,rss_feed,DoC,credit-card-rewards,,https://www.doctorofcredit.com/feed/,Doctor of Credit,
Frequent Miler,frequent-miler-frequentmiler-com-feed,rss_feed,,credit-card-rewards,,https://frequentmiler.com/feed/,Frequent Miler,
NerdWallet,nerdwallet-nerdwallet-com-blog-feed,rss_feed,Nerd Wallet,credit-card-rewards,,https://www.nerdwallet.com/blog/feed/,NerdWallet,
10xTravel,10xtravel-10xtravel-com-feed,rss_feed,10x Travel,credit-card-rewards,,https://10xtravel.com/feed/,10xTravel,
US Credit Card Guide,us-credit-card-guide-uscreditcardguide-com-feed,rss_feed,USCREDITCARDGUIDE|USCG,credit-card-rewards,,https://www.uscreditcardguide.com/feed/,US Credit Card Guide,
