name,slug,topic_type,aliases,parent_slugs,extensions,rss_feed_url,rss_feed_title,notes,referral_validation_slug,referral_user_help_text,referral_hostname,referral_pathname,referral_example_url,referral_company_slug
Referral Programs,referral-programs,topic,Refer-a-Friend Programs|Referral Codes,,,,,,,,,,,
Robinhood,robinhood,topic,,referral-programs,,,,,,,,,,
Cash App,cash-app,topic,CashApp,referral-programs,,,,,,,,,,
Block,block,topic,Square Inc,,,,,,,,,,,
Coinbase,coinbase,topic,,referral-programs,,,,,,,,,,
Chime,chime,topic,,referral-programs,,,,,,,,,,
Webull,webull,topic,,referral-programs,,,,,,,,,,
Acorns,acorns,topic,,referral-programs,,,,,,,,,,
SoFi,sofi,topic,Social Finance,referral-programs,,,,,,,,,,
PayPal,paypal,topic,,referral-programs,,,,,,,,,,
Venmo,venmo,topic,,paypal|referral-programs,,,,,,,,,,
Stash,stash,topic,Stash Invest,referral-programs,,,,,,,,,,
Wealthfront,wealthfront,topic,,referral-programs,,,,,,,,,,
Public,public-investing,topic,Public.com,referral-programs,,,,,,,,,,
M1 Finance,m1-finance,topic,M1,referral-programs,,,,,,,,,,
Aspiration,aspiration,topic,,referral-programs,,,,,,,,,,
Monarch Money,monarch-money,topic,,referral-programs,,,,,,,,,,
Privacy.com,privacy-com,topic,Privacy,referral-programs,,,,,,,,,,
Empower,empower,topic,Empower Personal Dashboard,referral-programs,,,,,,,,,,
Strike,strike,topic,,referral-programs,,,,,,,,,,
Earnest,earnest,topic,,referral-programs,,,,,,,,,,
Novo,novo,topic,Novo Banking,referral-programs,,,,,,,,,,
Betterment,betterment,topic,,referral-programs,,,,,,,,,,
Wise,wise,topic,TransferWise,referral-programs,,,,,,,,,,
Swagbucks,swagbucks,topic,,referral-programs,,,,,,,,,,
Rakuten,rakuten,topic,Ebates,referral-programs,,,,,,,,,,
Honey,honey,topic,PayPal Honey|Joinhoney,paypal|referral-programs,,,,,,,,,,
Ibotta,ibotta,topic,,referral-programs,,,,,,,,,,
Fetch Rewards,fetch-rewards,topic,Fetch,referral-programs,,,,,,,,,,
Mercari,mercari,topic,,referral-programs,,,,,,,,,,
GetUpside,getupside,topic,Upside,referral-programs,,,,,,,,,,
Dosh,dosh,topic,,referral-programs,,,,,,,,,,
TopCashback,topcashback,topic,,referral-programs,,,,,,,,,,
Poshmark,poshmark,topic,,referral-programs,,,,,,,,,,
Drop,drop-app,topic,Earn with Drop,referral-programs,,,,,,,,,,
Capital One Shopping,capital-one-shopping,topic,,capital-one|referral-programs,,,,,,,,,,
Fluz,fluz,topic,,referral-programs,,,,,,,,,,
Thrive Market,thrive-market,topic,,referral-programs,,,,,,,,,,
Groupon,groupon,topic,,referral-programs,,,,,,,,,,
Stitch Fix,stitch-fix,topic,,referral-programs,,,,,,,,,,
Whatnot,whatnot,topic,,referral-programs,,,,,,,,,,
Fiverr,fiverr,topic,,referral-programs,,,,,,,,,,
Uber,uber,topic,,referral-programs,,,,,,,,,,
Lyft,lyft,topic,,referral-programs,,,,,,,,,,
DoorDash,doordash,topic,,referral-programs,,,,,,,,,,
Instacart,instacart,topic,,referral-programs,,,,,,,,,,
Grubhub,grubhub,topic,,referral-programs,,,,,,,,,,
Postmates,postmates,topic,,uber|referral-programs,,,,,,,,,,
Gopuff,gopuff,topic,,referral-programs,,,,,,,,,,
Shipt,shipt,topic,,referral-programs,,,,,,,,,,
Factor,factor,topic,Factor 75|Factor Meals,referral-programs,,,,,,,,,,
Hungryroot,hungryroot,topic,,referral-programs,,,,,,,,,,
Tovala,tovala,topic,,referral-programs,,,,,,,,,,
Sweetgreen,sweetgreen,topic,,referral-programs,,,,,,,,,,
Freshly,freshly,topic,,referral-programs,,,,,,,,,,
Airbnb,airbnb,topic,,referral-programs,,,,,,,,,,
Turo,turo,topic,,referral-programs,,,,,,,,,,
Hipcamp,hipcamp,topic,,referral-programs,,,,,,,,,,
Lime,lime,topic,,referral-programs,,,,,,,,,,
Bird,bird,topic,Bird Rides,referral-programs,,,,,,,,,,
Hotel Tonight,hotel-tonight,topic,HotelTonight,referral-programs,,,,,,,,,,
T-Mobile,t-mobile,topic,TMobile,referral-programs,,,,,,,,,,
Mint Mobile,mint-mobile,topic,,referral-programs,,,,,,,,,,
Visible,visible,topic,,referral-programs,,,,,,,,,,
Google Fi,google-fi,topic,GoogleFi|Project Fi,referral-programs,,,,,,,,,,
Airalo,airalo,topic,,referral-programs,,,,,,,,,,
Dropbox,dropbox,topic,,referral-programs,,,,,,,,,,
Notion,notion,topic,,referral-programs,,,,,,,,,,
Canva,canva,topic,,referral-programs,,,,,,,,,,
Airtable,airtable,topic,,referral-programs,,,,,,,,,,
Evernote,evernote,topic,,referral-programs,,,,,,,,,,
Dashlane,dashlane,topic,,referral-programs,,,,,,,,,,
Todoist,todoist,topic,,referral-programs,,,,,,,,,,
Backblaze,backblaze,topic,,referral-programs,,,,,,,,,,
Gusto,gusto,topic,,referral-programs,,,,,,,,,,
Square,square,topic,,block|referral-programs,,,,,,,,,,
Toast,toast,topic,Toast POS,referral-programs,,,,,,,,,,
Duolingo,duolingo,topic,,referral-programs,,,,,,,,,,
Coursera,coursera,topic,,referral-programs,,,,,,,,,,
Skillshare,skillshare,topic,,referral-programs,,,,,,,,,,
Morning Brew,morning-brew,topic,MorningBrew,referral-programs,,,,,,,,,,
Peloton,peloton,topic,,referral-programs,,,,,,,,,,
ClassPass,classpass,topic,,referral-programs,,,,,,,,,,
Whoop,whoop,topic,,referral-programs,,,,,,,,,,
Rover,rover,topic,Rover.com,referral-programs,,,,,,,,,,
Binance.US,binance-us,topic,Binance US,referral-programs,,,,,,,,,,
Crypto.com,crypto-com,topic,CryptoCom,referral-programs,,,,,,,,,,
Kraken,kraken,topic,Kraken Exchange,referral-programs,,,,,,,,,,
Gemini Exchange,gemini-exchange,topic,Gemini Crypto,referral-programs,,,,,,,,,,
Honeygain,honeygain,topic,,referral-programs,,,,,,,,,,
Dollar Shave Club,dollar-shave-club,topic,DSC,referral-programs,,,,,,,,,,
Sam's Club,sams-club,topic,,referral-programs,,,,,,,,,,
Casper,casper,topic,Casper Mattress,referral-programs,,,,,,,,,,
Bombas,bombas,topic,,referral-programs,,,,,,,,,,
Eight Sleep,eight-sleep,topic,EightSleep,referral-programs,,,,,,,,,,
Purple,purple-mattress,topic,Purple Mattress,referral-programs,,,,,,,,,,
Brooklinen,brooklinen,topic,,referral-programs,,,,,,,,,,
Away,away,topic,Away Travel,referral-programs,,,,,,,,,,
Quip,quip,topic,Quip Toothbrush,referral-programs,,,,,,,,,,
Everlane,everlane,topic,,referral-programs,,,,,,,,,,
