name,slug,topic_type,aliases,parent_slugs,extensions,rss_feed_url,rss_feed_title,notes
Software Engineering,software-engineering,topic,Software Development|SWE,,,,,Top-level vertical
Frontend Development,frontend-development,topic,Frontend|Front-End,software-engineering,,,,
Backend Development,backend-development,topic,Backend|Back-End,software-engineering,,,,
DevOps,devops,topic,DevOps Engineering,software-engineering,,,,
Web Development,web-development,topic,Web Dev,software-engineering,,,,
Mobile Development,mobile-development,topic,Mobile Dev,software-engineering,,,,
Cloud Computing,cloud-computing,topic,Cloud,software-engineering,,,,
Open Source,open-source,topic,OSS,software-engineering,,,,
Databases,databases,topic,Database Engineering,software-engineering,,,,
Security,security,topic,Cybersecurity|InfoSec|Application Security,software-engineering,,,,
System Design,system-design,topic,Systems Architecture,software-engineering,,,,
API Design,api-design,topic,APIs,software-engineering,,,,
Testing,testing,topic,Software Testing|QA,software-engineering,,,,
Performance,performance,topic,Web Performance|Performance Engineering,software-engineering,,,,
Developer Tools,developer-tools,topic,Dev Tools,software-engineering,,,,
JavaScript,javascript,topic,JS,frontend-development|web-development,,,,
TypeScript,typescript,topic,TS,javascript,,,,
Python,python,topic,,software-engineering,,,,
Rust,rust-lang,topic,Rust Language|Rustlang,software-engineering,,,,
Go,go-lang,topic,Golang|Go Language,software-engineering,,,,
Java,java,topic,,software-engineering,,,,
C++,cpp,topic,C Plus Plus|Cplusplus,software-engineering,,,,
Swift,swift-lang,topic,Swift Language,mobile-development,,,,
Kotlin,kotlin,topic,,mobile-development,,,,
Ruby,ruby,topic,,software-engineering,,,,
PHP,php,topic,,web-development,,,,
C#,csharp,topic,C Sharp|dotnet,software-engineering,,,,
Zig,zig,topic,Zig Language,software-engineering,,,,
Elixir,elixir,topic,Elixir Language,software-engineering,,,,
Scala,scala,topic,Scala Language,software-engineering,,,,
React,react,topic,React.js|ReactJS,frontend-development,,,,
Next.js,nextjs,topic,Next|NextJS,react|web-development,,,,
Vue,vue,topic,Vue.js|VueJS,frontend-development,,,,
Angular,angular,topic,Angular.js,frontend-development,,,,
Svelte,svelte,topic,SvelteKit,frontend-development,,,,
Astro,astro,topic,Astro Framework,frontend-development,,,,
Remix,remix,topic,Remix Run,react|web-development,,,,
Solid.js,solidjs,topic,SolidJS|Solid,frontend-development,,,,
htmx,htmx,topic,HTMX,frontend-development,,,,
Hono,hono,topic,Hono Framework,backend-development|web-development,,,,
Deno,deno,topic,Deno Runtime,backend-development,,,,
Bun,bun,topic,Bun Runtime,backend-development,,,,
Node.js,nodejs,topic,Node|NodeJS,backend-development,,,,
Django,django,topic,,python|backend-development,,,,
Ruby on Rails,ruby-on-rails,topic,Rails|RoR,ruby|backend-development,,,,
Spring,spring,topic,Spring Boot|Spring Framework,java|backend-development,,,,
PostgreSQL,postgresql,topic,Postgres,databases,,,,
MySQL,mysql,topic,,databases,,,,
MongoDB,mongodb,topic,Mongo,databases,,,,
Redis,redis,topic,,databases,,,,
SQLite,sqlite,topic,,databases,,,,
DynamoDB,dynamodb,topic,Amazon DynamoDB,databases,,,,
Elasticsearch,elasticsearch,topic,Elastic|OpenSearch,databases,,,,
CockroachDB,cockroachdb,topic,Cockroach Database|CRDB,databases,,,,
Turso,turso,topic,Turso Database,databases,,,,
Prisma,prisma,topic,Prisma ORM,databases,,,,
Drizzle,drizzle,topic,Drizzle ORM,databases|typescript,,,,
Kafka,kafka,topic,Apache Kafka,software-engineering,,,,
RabbitMQ,rabbitmq,topic,,software-engineering,,,,
Grafana Blog,grafana-blog-grafana-com-blog-index-xml,rss_feed,,devops,,https://grafana.com/blog/index.xml,Grafana Blog,
Prometheus,prometheus,topic,,devops,,,,
Playwright,playwright,topic,Microsoft Playwright,testing,,,,
Cypress,cypress,topic,Cypress.io,testing,,,,
Vitest,vitest,topic,,testing|typescript,,,,
Tauri,tauri,topic,Tauri App,software-engineering,,,,
Electron,electron,topic,Electron.js,software-engineering,,,,
AWS Blog,aws-blog-aws-amazon-com-blogs-aws-feed,rss_feed,Amazon Web Services,cloud-computing,,https://aws.amazon.com/blogs/aws/feed/,AWS Blog,
Microsoft Azure,microsoft-azure,topic,Azure,cloud-computing,,,,
Cloudflare Blog,cloudflare-blog-blog-cloudflare-com-rss,rss_feed,CF,cloud-computing,,https://blog.cloudflare.com/rss/,Cloudflare Blog,
Vercel Blog,vercel-blog-vercel-com-atom,rss_feed,,cloud-computing|frontend-development,,https://vercel.com/atom,Vercel Blog,
DigitalOcean,digitalocean,topic,,cloud-computing,,,,
