name,slug,topic_type,aliases,parent_slugs,extensions,rss_feed_url,rss_feed_title,notes
Travel,travel,topic,Travel Hacking,,,,,Top-level vertical
Award Travel,award-travel,topic,Award Flights|Award Bookings,travel,,,,
Airline Reviews,airline-reviews,topic,,travel,,,,
Hotel Reviews,hotel-reviews,topic,,travel,,,,
Lounges,lounges,topic,Airport Lounges,travel,,,,
Travel Insurance,travel-insurance,topic,,travel,,,,
Business Class,business-class,topic,Business Class Flights,travel,,,,
First Class,first-class,topic,First Class Flights,travel,,,,
Premium Economy,premium-economy,topic,,travel,,,,
Cruises,cruises,topic,Cruise Lines,travel,,,,
Vacation Rentals,vacation-rentals,topic,VRBO,travel,,,,
United Airlines,united-airlines,topic,United|UA,travel,,,,
Delta News Hub,delta-news-hub-news-delta-com-delta-news-hub-xml,rss_feed,Delta|DL,travel,,https://news.delta.com/delta-news-hub.xml,Delta News Hub,
American Airlines,american-airlines,topic,AA,travel,,,,
Southwest Airlines,southwest-airlines,topic,Southwest|WN,travel,,,,
JetBlue,jetblue,topic,JetBlue Airways|B6,travel,,,,
Alaska Airlines,alaska-airlines,topic,Alaska|AS,travel,,,,
Spirit Airlines,spirit-airlines,topic,Spirit,travel,,,,
Frontier Airlines,frontier-airlines,topic,Frontier,travel,,,,
Hawaiian Airlines,hawaiian-airlines,topic,Hawaiian,travel,,,,
British Airways,british-airways,topic,BA,travel,,,,
Air France,air-france,topic,AF,travel,,,,
Lufthansa,lufthansa,topic,LH,travel,,,,
Singapore Airlines,singapore-airlines,topic,SQ,travel,,,,
ANA,ana,topic,All Nippon Airways,travel,,,,
Japan Airlines,japan-airlines,topic,JAL|JL,travel,,,,
Cathay Pacific,cathay-pacific,topic,CX,travel,,,,
Emirates,emirates,topic,EK,travel,,,,
Qatar Airways,qatar-airways,topic,QR,travel,,,,
Turkish Airlines,turkish-airlines,topic,TK,travel,,,,
Marriott,marriott,topic,Marriott International|Marriott News,travel,,,,
